[04:06:49] [main/FATAL]: Failed to start the minecraft server
joptsimple.UnrecognizedOptionException: D is not a recognized option
	at joptsimple.OptionException.unrecognizedOption(OptionException.java:108) ~[minecraft_server.1.15.2.jar:?]
	at joptsimple.OptionParser.validateOptionCharacters(OptionParser.java:633) ~[minecraft_server.1.15.2.jar:?]
	at joptsimple.OptionParser.handleShortOptionCluster(OptionParser.java:528) ~[minecraft_server.1.15.2.jar:?]
	at joptsimple.OptionParser.handleShortOptionToken(OptionParser.java:523) ~[minecraft_server.1.15.2.jar:?]
	at joptsimple.OptionParserState$2.handleArgument(OptionParserState.java:59) ~[minecraft_server.1.15.2.jar:?]
	at joptsimple.OptionParser.parse(OptionParser.java:396) ~[minecraft_server.1.15.2.jar:?]
	at net.minecraft.server.MinecraftServer.main(SourceFile:906) [minecraft_server.1.15.2.jar:?]
[04:09:46] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[04:09:46] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[04:09:46] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[04:09:46] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[04:09:46] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[04:09:47] [Server thread/INFO]: Starting minecraft server version 1.15.2
[04:09:47] [Server thread/INFO]: Loading properties
[04:09:47] [Server thread/INFO]: Default game type: SURVIVAL
[04:09:47] [Server thread/INFO]: Generating keypair
[04:09:48] [Server thread/INFO]: Starting Minecraft server on *:25565
[04:09:48] [Server thread/INFO]: Using epoll channel type
[04:09:49] [Server thread/INFO]: Preparing level "world"
[04:09:50] [Server thread/INFO]: Found new data pack vanilla, loading it automatically
[04:09:50] [Server thread/INFO]: Reloading ResourceManager: Default
[04:10:07] [Server thread/INFO]: Loaded 6 recipes
[04:10:12] [Server thread/INFO]: Loaded 825 advancements
[04:12:03] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[04:12:10] [Server-Worker-5/INFO]: Preparing spawn area: 0%
[04:12:10] [Server-Worker-5/INFO]: Preparing spawn area: 0%
[04:12:10] [Server-Worker-5/INFO]: Preparing spawn area: 0%
[04:12:11] [Server-Worker-5/INFO]: Preparing spawn area: 0%
[04:12:11] [Server-Worker-5/INFO]: Preparing spawn area: 0%
[04:12:11] [Server-Worker-5/INFO]: Preparing spawn area: 0%
[04:12:11] [Server-Worker-5/INFO]: Preparing spawn area: 0%
[04:12:11] [Server-Worker-5/INFO]: Preparing spawn area: 0%
[04:12:11] [Server-Worker-5/INFO]: Preparing spawn area: 0%
[04:12:11] [Server-Worker-5/INFO]: Preparing spawn area: 0%
[04:12:12] [Server-Worker-5/INFO]: Preparing spawn area: 0%
[04:12:12] [Server-Worker-5/INFO]: Preparing spawn area: 0%
[04:12:12] [Server-Worker-5/INFO]: Preparing spawn area: 0%
[04:12:12] [Server-Worker-5/INFO]: Preparing spawn area: 0%
[04:12:12] [Server-Worker-5/INFO]: Preparing spawn area: 0%
[04:12:12] [Server-Worker-5/INFO]: Preparing spawn area: 0%
[04:12:14] [Server-Worker-5/INFO]: Preparing spawn area: 0%
[04:12:14] [Server-Worker-5/INFO]: Preparing spawn area: 0%
[04:12:15] [Server-Worker-5/INFO]: Preparing spawn area: 0%
[04:12:16] [Server-Worker-5/INFO]: Preparing spawn area: 0%
[04:12:17] [Server-Worker-5/INFO]: Preparing spawn area: 0%
[04:12:18] [Server-Worker-5/INFO]: Preparing spawn area: 0%
[04:12:19] [Server-Worker-5/INFO]: Preparing spawn area: 0%
[04:12:19] [Server-Worker-5/INFO]: Preparing spawn area: 0%
